1,0,0.92030149
2,0,0.9027
3,0,0.9012
4,0,0.9178
5,0,0.9229
6,0,0.9254
7,0,0.9188
8,0,0.9179
9,0,0.9184
10,0,0.9194
11,0,0.9168
12,0,0.9257
13,0,0.9398
14,0,0.9139
15,0,0.904
16,0,0.9296
17,0,0.9268
18,0,0.9078
19,0,0.9084
20,0,0.9251
21,0,0.9246
22,0,0.9199
23,0,0.9274
24,0,0.9279
25,0,0.9205
26,0,0.92
27,0,0.921
28,0,0.921
29,0,0.9208
30,0,0.9278
31,0,0.9304
32,0,0.9285
33,0,0.9285
34,0,0.9236
35,0,0.9316
36,0,0.9133
37,0,0.9269
38,0,0.9269
39,0,0.9121
40,0,0.9272
41,0,0.9196
42,0,0.9271
43,0,0.9205
44,0,0.9266
45,0,0.9282
46,0,0.9315
47,0,0.9298
48,0,0.9329
49,0,0.9245
50,0,0.9315
51,0,0.8963
52,0,0.9224
53,0,0.8965
54,0,0.9248
55,0,0.925
56,0,0.9304
57,0,0.9179
58,0,0.9278
59,0,0.9126
60,0,0.9192
61,0,0.9277
62,0,0.9278
63,0,0.9205
64,0,0.9138
65,0,0.9289
66,0,0.9302
67,0,0.9139
68,0,0.9111
69,0,0.9122
70,0,0.9163
71,0,0.9256
72,0,0.93
73,0,0.9135
74,0,0.921
75,0,0.9233
76,0,0.9233
77,0,0.9075
78,0,0.9309
79,0,0.9271
80,0,0.927
81,0,0.9291
82,0,0.9267
83,0,0.9243
84,0,0.9248
85,0,0.8978
86,0,0.9277
87,0,0.9134
88,0,0.9168
89,0,0.923
90,0,0.9216
91,0,0.9269
92,0,0.9269
93,0,0.9238
94,0,0.9157
95,0,0.9291
96,0,0.9361
97,0,0.9323
98,0,0.9167
99,0,0.9232
100,0,0.9176
101,97,0.9323
102,97,0.9205
103,97,0.9084
104,97,0.926
105,97,0.9359
106,97,0.926
107,97,0.9142
108,97,0.9059
109,97,0.9264
110,97,0.9069
111,13,0.9398
112,13,0.9224
113,13,0.92
114,13,0.9237
115,13,0.9405
116,13,0.9111
117,13,0.9173
118,13,0.9231
119,13,0.9072
120,13,0.9274
121,48,0.9329
122,48,0.9133
123,48,0.9126
124,48,0.9268
125,48,0.9279
126,48,0.9173
127,48,0.9064
128,48,0.9287
129,48,0.9156
130,48,0.9193
131,31,0.9304
132,31,0.9169
133,31,0.9195
