1,0,0.91181899,9310
2,0,0.9084,9510
3,0,0.8975,7965
4,0,0.9084,7984
5,0,0.9199,9568
6,0,0.9293,5648
7,0,0.9217,7968
8,0,0.9084,7048
9,0,0.9191,7107
10,0,0.9328,8457
11,0,0.9112,6195
12,0,0.9206,9478
13,0,0.9323,9331
14,0,0.9237,9180
15,0,0.9234,9180
16,0,0.9261,7272
17,10,0.9255,7365
18,10,0.9328,7537
19,10,0.9273,6582
20,10,0.9246,6286
21,13,0.9046,6813
22,13,0.9323,7418
23,13,0.918,7590
24,13,0.9285,7470
25,16,0.9146,5429
26,16,0.9261,5660
27,16,0.9133,5792
28,16,0.9137,4320
29,6,0.9293,6244
30,6,0.9175,6343
31,6,0.9026,6343
32,6,0.9347,6428
33,10,0.9328,7537
34,13,0.9323,7418
35,6,0.9293,6244
36,33,0.9141,4220
37,33,0.9328,2368
38,33,0.9172,4077
39,33,0.9328,2346
40,34,0.9323,3109
41,34,0.9011,2857
42,34,0.9206,2579
43,34,0.9123,2701
44,32,0.9347,4935
45,32,0.9273,4749
46,32,0.9045,5166
47,32,0.9253,4794
48,35,0.929,4625
49,35,0.9293,2294
50,35,0.9008,5017
51,35,0.913,3418
52,32,0.9347,4935
53,10,0.9328,3258
54,10,0.912,3341
55,10,0.9363,2835
56,10,0.9158,2139
57,13,0.9323,4568
58,13,0.9328,4545
59,13,0.933,4474
60,13,0.9194,4674
61,52,0.9347,5020
62,52,0.9158,4113
63,52,0.9181,5028
64,52,0.9168,5067
65,6,0.9293,3283
66,6,0.9311,3271
67,6,0.9341,3229
68,6,0.9428,3359
69,32,0.9347,3020
70,32,0.9188,3425
71,32,0.9188,3475
72,32,0.9214,3231
73,55,0.9363,1481
74,55,0.9131,1622
75,55,0.9197,1501
76,55,0.9236,1477
77,68,0.9428,1660
78,68,0.9394,1819
79,68,0.9293,1806
80,68,0.918,1747
81,67,0.9341,1270
82,67,0.924,1412
83,67,0.9379,1363
84,67,0.9346,1320
85,68,0.9428,1660
86,55,0.9363,1481
87,86,0.9363,21
88,86,0.9247,136
89,86,0.922,136
90,86,0.9272,78
91,78,0.9394,1679
92,78,0.938,2889
93,78,0.9279,2923
94,78,0.9097,3017
95,83,0.9379,442
96,83,0.9194,447
97,83,0.934,105
98,83,0.9194,105
99,85,0.9428,1532
100,85,0.9447,2709
101,85,0.9206,2743
102,85,0.9152,2824
103,78,0.9394,1679
104,92,0.938,27
105,92,0.9137,27
106,92,0.9265,120
107,92,0.923,130
108,100,0.9447,199
109,100,0.9062,187
110,100,0.9366,211
111,100,0.9261,167
112,103,0.9394,2137
113,103,0.9254,2705
114,103,0.9254,2734
115,103,0.9213,2911
116,68,0.9428,1992
117,68,0.9055,2535
118,68,0.9269,2564
119,68,0.9096,2731
120,100,0.9447,199
121,68,0.9428,1992
122,92,0.938,27
123,122,0.938,268
124,122,0.938,268
125,122,0.9447,231
126,122,0.9447,199
127,120,0.9447,3138
128,120,0.9336,3083
129,120,0.92,3130
130,120,0.9254,2838
131,78,0.9394,27
132,78,0.9312,132
133,78,0.9312,144
134,78,0.9219,27
135,121,0.9428,2578
136,121,0.9253,2591
137,121,0.9264,2277
138,121,0.9193,2531
139,78,0.9394,27
140,92,0.938,3262
141,92,0.9366,3215
142,92,0.9134,3249
143,92,0.9154,2970
144,100,0.9447,2744
145,100,0.9264,2608
146,100,0.9252,2716
147,100,0.9289,2519
148,139,0.9394,2712
149,139,0.9394,2712
150,139,0.9428,2624
151,139,0.9428,2578
152,68,0.9428,1972
153,68,0.9299,1855
154,68,0.9334,1950
155,68,0.9295,1814
156,100,0.9447,2744
157,68,0.9428,1972
158,92,0.938,3262
159,158,0.938,2894
160,158,0.9269,2740
161,158,0.9305,2865
162,158,0.9243,2642
163,156,0.9447,2584
164,156,0.9447,2426
165,156,0.9399,2584
166,156,0.9399,2426
167,78,0.9394,2134
168,78,0.9271,1990
169,78,0.9275,2112
170,78,0.9258,1938
171,157,0.9428,56
172,157,0.927,56
173,157,0.9279,56
174,157,0.9233,56
175,78,0.9394,2134
176,165,0.9399,1766
177,165,0.9208,1784
178,165,0.9208,1931
179,165,0.9237,1924
180,100,0.9447,1766
181,100,0.9284,1784
182,100,0.9284,1931
183,100,0.9279,1924
184,175,0.9394,65
185,175,0.9129,65
186,175,0.9313,65
187,175,0.9141,65
188,68,0.9428,1898
189,68,0.9424,1826
190,68,0.9447,1713
191,68,0.9428,1643
192,100,0.9447,1766
193,68,0.9428,1898
194,190,0.9447,283
195,190,0.9331,201
196,190,0.9216,294
197,190,0.9196,332
198,192,0.9447,228
199,192,0.9281,249
200,192,0.9293,267
201,192,0.9187,242
202,191,0.9428,264
203,191,0.9277,182
204,191,0.9374,275
205,191,0.9153,313
206,193,0.9428,293
207,193,0.9279,211
208,193,0.9273,304
209,193,0.9204,344
210,190,0.9447,283
211,191,0.9428,264
212,210,0.9447,468
213,210,0.9481,468
214,210,0.9216,516
215,210,0.9357,445
216,100,0.9447,462
217,100,0.9322,534
218,100,0.9384,590
219,100,0.9405,491
220,211,0.9428,445
221,211,0.9309,445
222,211,0.9374,482
223,211,0.9428,436
224,68,0.9428,523
225,68,0.938,523
226,68,0.9273,593
227,68,0.9427,468
228,100,0.9447,462
229,190,0.9447,377
230,190,0.9271,378
231,190,0.9169,393
232,190,0.9321,369
233,213,0.9481,377
234,213,0.9381,378
235,213,0.9266,393
236,213,0.9356,369
237,228,0.9447,41
238,228,0.9224,117
239,228,0.9206,285
240,228,0.9229,218
241,191,0.9428,351
242,191,0.9336,352
243,191,0.9296,370
244,191,0.9271,343
245,213,0.9481,377
246,190,0.9447,377
247,191,0.9428,351
248,246,0.9447,403
249,246,0.9307,966
250,246,0.9366,403
251,246,0.9447,408
252,245,0.9481,403
253,245,0.9252,966
254,245,0.9385,403
255,245,0.9481,408
256,100,0.9447,281
257,100,0.9355,281
258,100,0.9362,261
259,100,0.9333,330
260,247,0.9428,379
261,247,0.935,379
262,247,0.941,371
263,247,0.9428,384
264,100,0.9447,281
265,190,0.9447,1
